strike,expiry,days_to_expiry,option_type,market_price,implied_vol,moneyness
604.0,2026-06-30,4,call,136.82,1.696236,-0.19248
626.0,2026-06-30,4,call,114.165,1.42843,-0.156703
631.0,2026-06-30,4,call,109.2,1.379751,-0.148748
664.0,2026-06-30,4,call,76.595,1.063529,-0.097772
680.0,2026-06-30,4,call,52.85,0.368594,-0.073961
708.0,2026-06-30,4,call,24.64,0.147377,-0.03361
709.0,2026-06-30,4,call,23.655,0.14708,-0.032198
710.0,2026-06-30,4,call,22.635,0.134481,-0.030789
711.0,2026-06-30,4,call,21.73,0.153379,-0.029381
712.0,2026-06-30,4,call,20.75,0.150812,-0.027976
713.0,2026-06-30,4,call,19.89,0.163662,-0.026572
714.0,2026-06-30,4,call,18.88,0.15575,-0.025171
715.0,2026-06-30,4,call,17.995,0.160707,-0.023771
716.0,2026-06-30,4,call,17.075,0.160541,-0.022374
717.0,2026-06-30,4,call,16.225,0.164588,-0.020978
718.0,2026-06-30,4,call,15.295,0.161571,-0.019584
719.0,2026-06-30,4,call,14.385,0.15926,-0.018192
720.0,2026-06-30,4,call,13.545,0.16028,-0.016803
721.0,2026-06-30,4,call,12.635,0.156454,-0.015415
722.0,2026-06-30,4,call,11.845,0.158002,-0.014029
723.0,2026-06-30,4,call,10.965,0.154197,-0.012644
724.0,2026-06-30,4,call,10.185,0.154101,-0.011262
725.0,2026-06-30,4,call,9.49,0.15639,-0.009882
726.0,2026-06-30,4,call,8.65,0.151809,-0.008504
727.0,2026-06-30,4,call,7.94,0.151346,-0.007127
728.0,2026-06-30,4,call,7.28,0.151599,-0.005753
729.0,2026-06-30,4,call,6.46,0.145216,-0.00438
730.0,2026-06-30,4,call,5.825,0.14426,-0.003009
731.0,2026-06-30,4,call,5.19,0.14218,-0.00164
732.0,2026-06-30,4,call,4.6,0.140443,-0.000273
733.0,2026-06-30,4,call,3.995,0.137026,0.001092
734.0,2026-06-30,4,call,3.47,0.134977,0.002455
735.0,2026-06-30,4,call,3.0,0.133446,0.003817
736.0,2026-06-30,4,call,2.57,0.131924,0.005176
737.0,2026-06-30,4,call,2.18,0.130407,0.006534
738.0,2026-06-30,4,call,1.835,0.129095,0.00789
739.0,2026-06-30,4,call,1.5,0.126647,0.009244
740.0,2026-06-30,4,call,1.205,0.124149,0.010596
741.0,2026-06-30,4,call,0.995,0.123804,0.011947
742.0,2026-06-30,4,call,0.755,0.120283,0.013296
743.0,2026-06-30,4,call,0.605,0.119787,0.014642
744.0,2026-06-30,4,call,0.445,0.116842,0.015987
745.0,2026-06-30,4,call,0.335,0.115407,0.017331
746.0,2026-06-30,4,call,0.245,0.113731,0.018672
747.0,2026-06-30,4,call,0.17,0.111401,0.020011
748.0,2026-06-30,4,call,0.115,0.109217,0.021349
749.0,2026-06-30,4,call,0.085,0.10919,0.022685
750.0,2026-06-30,4,call,0.055,0.107186,0.024019
751.0,2026-06-30,4,call,0.045,0.10916,0.025352
752.0,2026-06-30,4,call,0.025,0.105683,0.026683
753.0,2026-06-30,4,call,0.025,0.110368,0.028012
754.0,2026-06-30,4,call,0.015,0.10836,0.029339
755.0,2026-06-30,4,call,0.015,0.112773,0.030664
756.0,2026-06-30,4,call,0.015,0.117163,0.031988
757.0,2026-06-30,4,call,0.015,0.12153,0.03331
758.0,2026-06-30,4,call,0.015,0.125875,0.03463
601.0,2026-06-30,4,put,0.015,0.624656,-0.197459
602.0,2026-06-30,4,put,0.015,0.619811,-0.195796
603.0,2026-06-30,4,put,0.015,0.614972,-0.194137
604.0,2026-06-30,4,put,0.015,0.610138,-0.19248
605.0,2026-06-30,4,put,0.015,0.60531,-0.190825
606.0,2026-06-30,4,put,0.015,0.600488,-0.189174
607.0,2026-06-30,4,put,0.015,0.595671,-0.187525
608.0,2026-06-30,4,put,0.015,0.59086,-0.185879
609.0,2026-06-30,4,put,0.015,0.586054,-0.184235
610.0,2026-06-30,4,put,0.015,0.581253,-0.182595
611.0,2026-06-30,4,put,0.015,0.576458,-0.180957
612.0,2026-06-30,4,put,0.015,0.571668,-0.179321
613.0,2026-06-30,4,put,0.015,0.566884,-0.177689
614.0,2026-06-30,4,put,0.015,0.562104,-0.176059
615.0,2026-06-30,4,put,0.015,0.55733,-0.174431
616.0,2026-06-30,4,put,0.015,0.552561,-0.172807
617.0,2026-06-30,4,put,0.015,0.547797,-0.171185
618.0,2026-06-30,4,put,0.015,0.543038,-0.169565
619.0,2026-06-30,4,put,0.015,0.538284,-0.167948
620.0,2026-06-30,4,put,0.015,0.533535,-0.166334
621.0,2026-06-30,4,put,0.015,0.528791,-0.164723
622.0,2026-06-30,4,put,0.015,0.524051,-0.163114
623.0,2026-06-30,4,put,0.015,0.519317,-0.161507
624.0,2026-06-30,4,put,0.015,0.514587,-0.159903
